fifa_version,short_name,overall,potential,age,league_name,club_name,nationality_name,pace,shooting,passing,dribbling,defending,physic
23,L. Messi,91,91,35,Ligue 1,Paris Saint Germain,Argentina,81.0,89.0,90.0,94.0,34.0,64.0
23,K. Benzema,91,91,34,La Liga,Real Madrid,France,80.0,88.0,83.0,87.0,39.0,78.0
23,R. Lewandowski,91,91,33,La Liga,FC Barcelona,Poland,75.0,91.0,79.0,86.0,44.0,83.0
23,K. De Bruyne,91,91,31,Premier League,Manchester City,Belgium,74.0,88.0,93.0,87.0,64.0,77.0
23,K. Mbappé,91,95,23,Ligue 1,Paris Saint Germain,France,97.0,89.0,80.0,92.0,36.0,76.0
23,Cristiano Ronaldo,90,90,37,Premier League,Manchester United,Portugal,81.0,92.0,78.0,85.0,34.0,75.0
23,M. Neuer,90,90,36,Bundesliga,FC Bayern München,Germany,,,,,,
23,T. Courtois,90,91,30,La Liga,Real Madrid,Belgium,,,,,,
23,V. van Dijk,90,90,30,Premier League,Liverpool,Netherlands,81.0,60.0,71.0,72.0,91.0,86.0
23,M. Salah,90,90,30,Premier League,Liverpool,Egypt,90.0,89.0,82.0,90.0,45.0,75.0
23,Neymar Jr,89,89,30,Ligue 1,Paris Saint Germain,Brazil,87.0,83.0,85.0,93.0,37.0,61.0
23,H. Son,89,89,29,Premier League,Tottenham Hotspur,Korea Republic,88.0,89.0,82.0,86.0,42.0,69.0
23,Casemiro,89,89,30,Premier League,Manchester United,Brazil,63.0,73.0,75.0,72.0,87.0,90.0
23,J. Oblak,89,91,29,La Liga,Atlético Madrid,Slovenia,,,,,,
23,H. Kane,89,89,28,Premier League,Tottenham Hotspur,England,68.0,91.0,83.0,82.0,47.0,82.0
23,S. Mané,89,89,30,Bundesliga,FC Bayern München,Senegal,90.0,83.0,80.0,88.0,44.0,77.0
23,Ederson,89,91,28,Premier League,Manchester City,Brazil,,,,,,
23,J. Kimmich,89,90,27,Bundesliga,FC Bayern München,Germany,68.0,72.0,87.0,84.0,83.0,79.0
23,Alisson,89,90,29,Premier League,Liverpool,Brazil,,,,,,
23,N. Kanté,89,89,31,Premier League,Chelsea,France,72.0,66.0,74.0,81.0,87.0,82.0
23,L. Modrić,88,88,36,La Liga,Real Madrid,Croatia,73.0,76.0,89.0,88.0,72.0,66.0
23,T. Kroos,88,88,32,La Liga,Real Madrid,Germany,53.0,81.0,90.0,81.0,71.0,68.0
23,M. ter Stegen,88,89,30,La Liga,FC Barcelona,Germany,,,,,,
23,K. Navas,88,88,35,Ligue 1,Paris Saint Germain,Costa Rica,,,,,,
23,Marquinhos,88,90,28,Ligue 1,Paris Saint Germain,Brazil,79.0,56.0,75.0,74.0,89.0,80.0
23,João Cancelo,88,88,28,Premier League,Manchester City,Portugal,85.0,73.0,85.0,85.0,81.0,73.0
23,Bernardo Silva,88,88,27,Premier League,Manchester City,Portugal,77.0,78.0,84.0,92.0,61.0,68.0
23,G. Donnarumma,88,92,23,Ligue 1,Paris Saint Germain,Italy,,,,,,
23,E. Haaland,88,94,21,Premier League,Manchester City,Norway,89.0,91.0,65.0,80.0,49.0,87.0
23,Rúben Dias,88,91,25,Premier League,Manchester City,Portugal,63.0,39.0,66.0,68.0,88.0,88.0
23,H. Lloris,87,87,35,Premier League,Tottenham Hotspur,France,,,,,,
23,T. Müller,87,87,32,Bundesliga,FC Bayern München,Germany,69.0,84.0,83.0,80.0,56.0,71.0
